finalidade;piso_r_por_m2;criterio;periodo_base
APART-HOTEL(FLAT);1200,00;grupo apartamento/hospedagem;30/04/2026 a 30/07/2026
APARTAMENTO;1200,00;40% do P10 das ofertas, arredondado conservadoramente;30/04/2026 a 30/07/2026
APARTAMENTO DE COBERTURA;900,00;40% do P10 das ofertas;30/04/2026 a 30/07/2026
CONSTRUCAO EM AREA PROJETADA DE GLEBA;100,00;cauda inferior das Guias ITBI;30/04/2026 a 30/07/2026
DEPÓSITO / ARMAZÉM / PRÉDIO INDUSTRIAL;650,00;40% do P10 das ofertas;30/04/2026 a 30/07/2026
EDIFICIO GARAGEM;200,00;grupo estacionamento/garagem;30/04/2026 a 30/07/2026
ESPACO DE ESTACIONAMENTO NAO RESIDENC DESCOBERTO;200,00;cauda inferior das Guias ITBI;30/04/2026 a 30/07/2026
ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL;150,00;cauda inferior das Guias ITBI;30/04/2026 a 30/07/2026
ESPACO DE ESTACIONAMENTO RESIDENCIAL;200,00;cauda inferior das Guias ITBI;30/04/2026 a 30/07/2026
ESPACO DE ESTACIONAMENTO RESIDENCIAL DESCOBERTO;300,00;cauda inferior das Guias ITBI;30/04/2026 a 30/07/2026
GARAGEM COLETIVA;250,00;grupo estacionamento/garagem;30/04/2026 a 30/07/2026
GLEBA;20,00;40% do P10 das ofertas disponíveis;30/04/2026 a 30/07/2026
HOTEL OU SIMILAR;400,00;grupo hospedagem/comercial especial;30/04/2026 a 30/07/2026
IMOVEL ESPECIAL;400,00;piso conservador para finalidade heterogênea;30/04/2026 a 30/07/2026
LOJA DE INTERIOR;700,00;grupo lojas;30/04/2026 a 30/07/2026
LOJA EM GALERIA;1000,00;40% do P10 das ofertas;30/04/2026 a 30/07/2026
LOJA EM SHOPPING;1200,00;grupo lojas de maior intensidade comercial;30/04/2026 a 30/07/2026
LOJA TERREA EM EDIFICIO;1000,00;40% do P10 das ofertas, arredondado conservadoramente;30/04/2026 a 30/07/2026
RESIDENCIA CONDOM HORIZ ABERTO SEM AREA USO COMUM;1000,00;40% do P10 das ofertas;30/04/2026 a 30/07/2026
RESIDENCIA DE FRENTE COM INTERIORES;1300,00;40% do P10 das ofertas;30/04/2026 a 30/07/2026
RESIDENCIA DE INTERIOR;800,00;grupo residencial;30/04/2026 a 30/07/2026
RESIDENCIA ISOLADA;950,00;40% do P10 das ofertas;30/04/2026 a 30/07/2026
RESIDENCIA NAO PADRONIZ EM CONDOM HORIZONTAL FECHADO;1000,00;grupo residencial em condomínio;30/04/2026 a 30/07/2026
RESIDENCIA NAO PADRONIZADA EM COND HORIZ ABERTO C/ ÁREA COMUM;1000,00;grupo residencial em condomínio;30/04/2026 a 30/07/2026
RESIDENCIA PADRONIZADA COND HORIZ ABERTO C/ ÁREA USO COMUM;900,00;grupo residencial em condomínio;30/04/2026 a 30/07/2026
RESIDENCIA PADRONIZADA EM COND HORIZONTAL FECHADO;1000,00;grupo residencial em condomínio;30/04/2026 a 30/07/2026
SALA COMERCIAL;900,00;40% do P10 das ofertas;30/04/2026 a 30/07/2026
SALA DE COBERTURA;700,00;grupo salas comerciais;30/04/2026 a 30/07/2026
TERRENO;200,00;40% do P10 das ofertas, arredondado para baixo;30/04/2026 a 30/07/2026
TERRENO EM CONDOMINIO HORIZONTAL ABERTO;150,00;grupo terrenos em condomínio;30/04/2026 a 30/07/2026
TERRENO EM CONDOMINIO HORIZONTAL FECHADO;200,00;40% do P10 das ofertas, arredondado para baixo;30/04/2026 a 30/07/2026
TERRENOS CONDOMINIO HORIZ ABERTO SEM AREA USO COMUM;100,00;cauda inferior disponível;30/04/2026 a 30/07/2026
UNIDADE (DE COMÉRCIO OU SERVIÇOS) DE  FRENTE NÃO ISOLADA;1300,00;40% do P10 das ofertas;30/04/2026 a 30/07/2026
UNIDADE DE COMERCIO E SERVICO ISOLADA;850,00;40% do P10 das ofertas;30/04/2026 a 30/07/2026
